t=2026-01-06T00:31:40-0500 lvl=info msg="no configuration paths supplied"
t=2026-01-06T00:31:40-0500 lvl=info msg="using configuration at default config path" path=/home/zepvalue/.config/ngrok/ngrok.yml
t=2026-01-06T00:31:40-0500 lvl=info msg="open config file" path=/home/zepvalue/.config/ngrok/ngrok.yml err=nil
t=2026-01-06T00:31:40-0500 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-06T00:31:40-0500 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-01-06T00:31:40-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-01-06T00:37:47-0500 lvl=info msg="join connections" obj=join id=bcbd63322b3c l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:47-0500 lvl=info msg="join connections" obj=join id=92a9d4971b64 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:47-0500 lvl=info msg="join connections" obj=join id=c4f89cb647ee l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:47-0500 lvl=info msg="join connections" obj=join id=e4d417399b18 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:52-0500 lvl=info msg="join connections" obj=join id=bce6b7106926 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:52-0500 lvl=info msg="join connections" obj=join id=d5839e2054ca l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:58-0500 lvl=info msg="join connections" obj=join id=ebfcee5d1133 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:58-0500 lvl=info msg="join connections" obj=join id=83b77d3451c5 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:03-0500 lvl=info msg="join connections" obj=join id=22d4969f96f1 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:38:03-0500 lvl=info msg="join connections" obj=join id=9610f5c30255 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:03-0500 lvl=info msg="join connections" obj=join id=df3d4b589918 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:38:03-0500 lvl=info msg="join connections" obj=join id=46a4a9e0ba7f l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:08-0500 lvl=info msg="join connections" obj=join id=727391c444c1 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:38:08-0500 lvl=info msg="join connections" obj=join id=67f5b8425a6c l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:12-0500 lvl=info msg="join connections" obj=join id=c5ece90ad3fb l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:12-0500 lvl=info msg="join connections" obj=join id=119dd1dd5ec5 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:38:17-0500 lvl=info msg="join connections" obj=join id=b8d853e2ec0b l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:38:17-0500 lvl=info msg="join connections" obj=join id=8f884e7a6023 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:22-0500 lvl=info msg="join connections" obj=join id=5f32b4ce92b5 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:38:22-0500 lvl=info msg="join connections" obj=join id=6b3a7c18aa7e l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:28-0500 lvl=info msg="join connections" obj=join id=c2b316569115 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:28-0500 lvl=info msg="join connections" obj=join id=44b383f91fab l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:38:28-0500 lvl=info msg="join connections" obj=join id=18304cf8f792 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:28-0500 lvl=info msg="join connections" obj=join id=d38e9d3c8f67 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:28-0500 lvl=info msg="join connections" obj=join id=7a2e8424d787 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:38:28-0500 lvl=info msg="join connections" obj=join id=3d6308560784 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:38:33-0500 lvl=info msg="join connections" obj=join id=1865fdf8e32f l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:33-0500 lvl=info msg="join connections" obj=join id=0aa2c485dcc4 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:38:38-0500 lvl=info msg="join connections" obj=join id=f94f843afa25 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:38-0500 lvl=info msg="join connections" obj=join id=82ffb285419f l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:38:44-0500 lvl=info msg="join connections" obj=join id=39983c4c94c5 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:38:44-0500 lvl=info msg="join connections" obj=join id=7af05bdc0650 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:42:58-0500 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=efa7cd73f507 clientid=82c230ac8ab54cffe72df228292fbda9
t=2026-01-06T00:42:58-0500 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=3c429f7beac7 err="session closed"
t=2026-01-06T00:43:08-0500 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp 3.134.73.173:443: i/o timeout"
t=2026-01-06T00:43:18-0500 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp 3.134.73.173:443: i/o timeout"
t=2026-01-06T00:43:29-0500 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp 3.134.73.173:443: i/o timeout"
t=2026-01-06T00:43:32-0500 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-06T00:43:32-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-06T00:44:15-0500 lvl=info msg="received stop request" obj=app stopReq="{err:<nil> restart:false}"
t=2026-01-06T00:44:15-0500 lvl=info msg="session closing" obj=tunnels.session err=nil
t=2026-01-06T00:44:15-0500 lvl=info msg="accept failed" obj=tunnels.session obj=csess id=3c429f7beac7 err="reconnecting session closed"
